identifier|m|w|t|rt|r|pd|lgd|p_score|mr|hr|funders
10|76000|36|0|0|0.1188|0.0101|0.8|490|0.1|0|100,200
20|68500|36|0|0|0.1088|0.011|0.88|480|0.1|0|100,300
30|73800|36|0|0|0.1188|0.0156|0.89|410|0.1|0|200,300
40|59000|36|0|0|0.1088|0.0153|0.89|400|0.1|0|100,200,300
50|83500|64|1|0|0.1188|0.0122|0.88|390|0.3|0|100,300
60|96200|36|1|0|0.1088|0.01035|0.87|485|0.2|0|100,200
70|71100|36|1|0|0.1188|0.0112|0.98|460|0.3|0|100,200,300
80|69600|36|1|0|0.1088|0.0123|0.89|380|0.2|0|200,300
90|57300|36|2|0|0.1288|0.035|0.99|350|0.5|0|100,200,300
100|42000|36|2|0|0.1288|0.025|0.99|355|0.6|0|100,300
